post,azimuth,wind_direction,concentration,distance
47,163.0,7.05,1.1749999999999998,100
47,163.0,7.05,0.2604,200
48,166.0,5.4,3.9039,50
48,166.0,5.4,0.9211999999999999,100
48,166.0,5.4,0.25110000000000005,200
49,169.0,4.56,3.6127000000000002,50
49,169.0,4.56,0.6815,100
49,169.0,4.56,0.14415,200
50,172.0,6.64,2.8756000000000004,50
50,172.0,6.64,0.6532999999999999,100
50,172.0,6.64,0.12555000000000002,200
51,175.0,2.49,1.8928,50
51,175.0,2.49,0.6439,100
51,175.0,2.49,0.10695,200
52,178.0,4.15,1.7927,50
52,178.0,4.15,0.6439,100
52,178.0,4.15,0.13485,200
53,181.0,3.73,1.6380000000000001,50
53,181.0,3.73,0.5498999999999999,100
53,181.0,3.73,0.0837,200
54,184.0,4.56,1.4196000000000002,50
54,184.0,4.56,0.26789999999999997,100
54,184.0,4.56,0.0558,200
55,187.0,2.49,1.1739000000000002,50
55,187.0,2.49,0.2397,100
55,187.0,2.49,0.01395,200
56,190.0,0.83,0.5277999999999999,50
56,190.0,0.83,0.188,100
57,193.0,1.66,0.55055,50
57,193.0,1.66,0.1222,100
58,196.0,1.24,0.89635,50
58,196.0,1.24,0.051699999999999996,100
59,199.0,1.24,0.9919000000000001,50
59,199.0,1.24,0.014099999999999998,100
60,202.0,0.83,0.7007,50
60,202.0,0.83,0.0047,100
61,205.0,0.83,0.30485,50
61,205.0,0.83,0.0047,100
31,115.0,1.66,0.378,50
32,118.0,1.24,1.305,50
33,121.0,1.24,1.9980000000000002,50
34,124.0,1.66,4.905,50
34,124.0,1.66,0.1274,100
34,124.0,1.66,0.0506,200
35,127.0,4.56,10.08,50
35,127.0,4.56,0.7007,100
36,130.0,4.15,17.1,50
36,130.0,4.15,1.4469,100
36,130.0,4.15,0.0782,200
37,133.0,8.71,18.540000000000003,50
37,133.0,8.71,3.1213,100
37,133.0,8.71,0.0506,200
38,136.0,9.55,19.35,50
38,136.0,9.55,5.005,100
38,136.0,9.55,0.276,200
39,139.0,9.55,24.48,50
39,139.0,9.55,6.5156,100
39,139.0,9.55,0.782,200
40,142.0,5.81,24.3,50
40,142.0,5.81,6.506500000000001,100
40,142.0,5.81,1.7664,200
41,145.0,11.62,22.41,50
41,145.0,11.62,6.188,100
41,145.0,11.62,2.1068000000000002,200
42,148.0,9.55,25.470000000000002,50
42,148.0,9.55,8.1172,100
42,148.0,9.55,2.1068000000000002,200
43,151.0,7.88,25.83,50
43,151.0,7.88,8.9999,100
43,151.0,7.88,1.9872000000000003,200
44,154.0,7.88,22.77,50
44,154.0,7.88,7.3528,100
44,154.0,7.88,2.0608000000000004,200
45,157.0,4.98,20.61,50
45,157.0,4.98,5.4782,100
45,157.0,4.98,1.6560000000000001,200
46,160.0,3.73,12.420000000000002,50
46,160.0,3.73,3.2669,100
46,160.0,3.73,0.8924,200
47,163.0,3.32,6.57,50
47,163.0,3.32,1.7472,100
47,163.0,3.32,0.3128,200
48,166.0,2.49,3.762,50
48,166.0,2.49,0.5915,100
48,166.0,2.49,0.0506,200
49,169.0,0.42,1.062,50
49,169.0,0.42,0.2184,100
17,73.0,1.24,1.6744,50
17,73.0,1.24,0.0957,100
18,76.0,0.42,1.0283,50
18,76.0,0.42,0.2262,100
19,79.0,1.24,0.9282,50
19,79.0,1.24,0.3393,100
20,82.0,0.42,1.2922,50
20,82.0,0.42,0.4002,100
20,82.0,0.42,0.0344,200
21,85.0,1.66,1.6926,50
21,85.0,1.66,0.5481,100
21,85.0,1.66,0.0645,200
22,88.0,0.42,3.1940999999999997,50
22,88.0,0.42,1.0788,100
22,88.0,0.42,0.08600000000000001,200
23,91.0,2.49,4.841200000000001,50
23,91.0,2.49,0.9830999999999999,100
23,91.0,2.49,0.129,200
24,94.0,5.81,6.0333000000000006,50
24,94.0,5.81,0.8004,100
24,94.0,5.81,0.129,200
25,97.0,4.98,5.3508000000000004,50
25,97.0,4.98,1.131,100
25,97.0,4.98,0.129,200
26,100.0,4.15,4.55,50
26,100.0,4.15,0.9483,100
26,100.0,4.15,0.18059999999999998,200
27,103.0,4.98,4.8048,50
27,103.0,4.98,0.8004,100
27,103.0,4.98,0.215,200
28,106.0,4.98,4.9777,50
28,106.0,4.98,0.8961,100
28,106.0,4.98,0.0946,200
29,109.0,2.9,4.3770999999999995,50
29,109.0,2.9,0.6612,100
29,109.0,2.9,0.08600000000000001,200
30,112.0,4.15,3.5763000000000003,50
30,112.0,4.15,0.6264,100
30,112.0,4.15,0.129,200
31,115.0,5.4,3.2851,50
31,115.0,5.4,1.2006,100
31,115.0,5.4,0.08600000000000001,200
32,118.0,2.07,3.64,50
32,118.0,2.07,0.9135,100
32,118.0,2.07,0.12040000000000001,200
33,121.0,2.9,4.7229,50
33,121.0,2.9,1.1571,100
33,121.0,2.9,0.1892,200
34,124.0,7.06,3.9676000000000005,50
34,124.0,7.06,0.8961,100
34,124.0,7.06,0.18059999999999998,200
35,127.0,2.07,2.3296,50
35,127.0,2.07,0.7743,100
35,127.0,2.07,0.12040000000000001,200
36,130.0,2.07,2.1476,50
36,130.0,2.07,0.8526,100
36,130.0,2.07,0.1462,200
37,133.0,0.83,2.5662,50
37,133.0,0.83,0.6960000000000001,100
37,133.0,0.83,0.1634,200
38,136.0,2.9,2.8392000000000004,50
38,136.0,2.9,0.6525,100
38,136.0,2.9,0.1376,200
39,139.0,2.49,2.4479,50
39,139.0,2.49,0.49589999999999995,100
39,139.0,2.49,0.08600000000000001,200
40,142.0,1.66,2.7118,50
40,142.0,1.66,0.49589999999999995,100
40,142.0,1.66,0.0688,200
41,145.0,3.73,2.8028,50
41,145.0,3.73,0.5394,100
41,145.0,3.73,0.0387,200
42,148.0,2.49,2.0747999999999998,50
42,148.0,2.49,0.5568,100
42,148.0,2.49,0.0258,200
43,151.0,1.24,2.6299,50
43,151.0,1.24,0.6264,100
43,151.0,1.24,0.043000000000000003,200
44,154.0,2.07,2.3205,50
44,154.0,2.07,0.7569,100
44,154.0,2.07,0.0344,200
45,157.0,0.83,1.8928,50
45,157.0,0.83,0.6873,100
45,157.0,0.83,0.043000000000000003,200
46,160.0,2.49,2.3023,50
46,160.0,2.49,0.6699,100
46,160.0,2.49,0.0258,200
47,163.0,2.49,2.1749,50
47,163.0,2.49,0.6960000000000001,100
48,166.0,2.9,1.9656000000000002,50
48,166.0,2.9,0.41759999999999997,100
49,169.0,1.66,1.5834000000000001,50
49,169.0,1.66,0.1131,100
50,172.0,0.42,1.5834000000000001,50
50,172.0,0.42,0.021750000000000002,100
51,175.0,1.66,1.3559,50
51,175.0,1.66,0.013049999999999999,100
52,178.0,0.42,1.3195,50
53,181.0,0.42,0.8827,50
54,184.0,2.07,0.8827,50
55,187.0,0.83,0.7189000000000001,50
56,190.0,1.24,0.35490000000000005,50
57,193.0,0.83,0.24570000000000003,50
58,196.0,1.24,0.09100000000000001,50
59,199.0,0.42,0.05915,50
38,136.0,1.28,0.3515,50
38,136.0,1.28,0.1081,100
38,136.0,1.28,0.0048,200
39,139.0,2.56,0.988,50
39,139.0,2.56,0.45119999999999993,100
39,139.0,2.56,0.1296,200
40,142.0,0.85,2.1185,50
40,142.0,0.85,0.4324,100
40,142.0,0.85,0.1824,200
41,145.0,1.28,2.1755,50
41,145.0,1.28,0.9682,100
41,145.0,1.28,0.2208,200
42,148.0,2.14,1.9094999999999998,50
42,148.0,2.14,1.0246,100
42,148.0,2.14,0.288,200
43,151.0,2.99,1.8335,50
43,151.0,2.99,0.8083999999999999,100
43,151.0,2.99,0.2496,200
44,154.0,4.7,2.0425,50
44,154.0,4.7,0.5357999999999999,100
44,154.0,4.7,0.13440000000000002,200
45,157.0,3.85,2.831,50
45,157.0,3.85,0.5546,100
45,157.0,3.85,0.816,200
46,160.0,6.84,3.5435,50
46,160.0,6.84,0.7707999999999999,100
46,160.0,6.84,0.0912,200
47,163.0,6.41,6.517,50
47,163.0,6.41,1.4852,100
47,163.0,6.41,0.24,200
48,166.0,9.83,9.785,50
48,166.0,9.83,3.0268,100
48,166.0,9.83,0.4608,200
49,169.0,5.13,11.969999999999999,50
49,169.0,5.13,3.525,100
49,169.0,5.13,0.7008,200
50,172.0,6.41,12.35,50
50,172.0,6.41,2.7918,100
50,172.0,6.41,0.6719999999999999,200
51,175.0,10.68,11.78,50
51,175.0,10.68,2.8669999999999995,100
51,175.0,10.68,0.7008,200
52,178.0,8.97,11.02,50
52,178.0,8.97,3.3276,100
52,178.0,8.97,0.9119999999999999,200
53,181.0,6.84,11.589999999999998,50
53,181.0,6.84,2.961,100
53,181.0,6.84,0.7392,200
54,184.0,8.12,8.417,50
54,184.0,8.12,2.6414,100
54,184.0,8.12,0.5184,200
55,187.0,2.14,5.984999999999999,50
55,187.0,2.14,2.068,100
55,187.0,2.14,0.39359999999999995,200
56,190.0,5.56,4.2275,50
56,190.0,5.56,1.3254,100
