post,azimuth,wind_direction,concentration,distance,U,q
53,181,0.42,0.060450000000000004,50,2.17,1.0
54,184,1.66,0.01395,50,2.17,1.0
33,121,0.42,0.0364,50,4.04,4.43
34,124,0.42,0.1183,50,4.04,4.43
35,127,0.42,0.1456,50,4.04,4.43
35,127,0.42,0.0235,100,4.04,4.43
36,130,0.83,0.33215,50,4.04,4.43
36,130,0.83,0.1222,100,4.04,4.43
36,130,0.83,0.01395,200,4.04,4.43
37,133,1.66,0.39585000000000004,50,4.04,4.43
37,133,1.66,0.1551,100,4.04,4.43
37,133,1.66,0.018600000000000002,200,4.04,4.43
38,136,0.83,0.8508500000000001,50,4.04,4.43
38,136,0.83,0.2115,100,4.04,4.43
38,136,0.83,0.04650000000000001,200,4.04,4.43
39,139,1.66,1.6562000000000001,50,4.04,4.43
39,139,1.66,0.34309999999999996,100,4.04,4.43
39,139,1.66,0.0558,200,4.04,4.43
40,142,4.56,2.9393000000000002,50,4.04,4.43
40,142,4.56,0.5687,100,4.04,4.43
40,142,4.56,0.1302,200,4.04,4.43
41,145,5.81,4.4863,50,4.04,4.43
41,145,5.81,1.0715999999999999,100,4.04,4.43
41,145,5.81,0.2604,200,4.04,4.43
42,148,7.47,5.596500000000001,50,4.04,4.43
42,148,7.47,1.8047999999999997,100,4.04,4.43
42,148,7.47,0.29760000000000003,200,4.04,4.43
43,151,7.88,6.4155,50,4.04,4.43
43,151,7.88,1.9364,100,4.04,4.43
43,151,7.88,0.4278,200,4.04,4.43
44,154,9.13,6.1516,50,4.04,4.43
44,154,9.13,1.833,100,4.04,4.43
44,154,9.13,0.39990000000000003,200,4.04,4.43
45,157,6.22,5.678400000000001,50,4.04,4.43
45,157,6.22,1.363,100,4.04,4.43
45,157,6.22,0.29760000000000003,200,4.04,4.43
46,160,4.15,4.0131000000000006,50,4.04,4.43
46,160,4.15,1.4852,100,4.04,4.43
46,160,4.15,0.31155000000000005,200,4.04,4.43
47,163,7.05,3.3215,50,4.04,4.43
47,163,7.05,1.1749999999999998,100,4.04,4.43
47,163,7.05,0.2604,200,4.04,4.43
48,166,5.4,3.9039,50,4.04,4.43
48,166,5.4,0.9211999999999999,100,4.04,4.43
48,166,5.4,0.25110000000000005,200,4.04,4.43
49,169,4.56,3.6127000000000002,50,4.04,4.43
49,169,4.56,0.6815,100,4.04,4.43
49,169,4.56,0.14415,200,4.04,4.43
50,172,6.64,2.8756000000000004,50,4.04,4.43
50,172,6.64,0.6532999999999999,100,4.04,4.43
50,172,6.64,0.12555000000000002,200,4.04,4.43
51,175,2.49,1.8928,50,4.04,4.43
51,175,2.49,0.6439,100,4.04,4.43
51,175,2.49,0.10695,200,4.04,4.43
52,178,4.15,1.7927,50,4.04,4.43
52,178,4.15,0.6439,100,4.04,4.43
52,178,4.15,0.13485,200,4.04,4.43
53,181,3.73,1.6380000000000001,50,4.04,4.43
53,181,3.73,0.5498999999999999,100,4.04,4.43
53,181,3.73,0.0837,200,4.04,4.43
54,184,4.56,1.4196000000000002,50,4.04,4.43
54,184,4.56,0.26789999999999997,100,4.04,4.43
54,184,4.56,0.0558,200,4.04,4.43
55,187,2.49,1.1739000000000002,50,4.04,4.43
55,187,2.49,0.2397,100,4.04,4.43
55,187,2.49,0.01395,200,4.04,4.43
56,190,0.83,0.5277999999999999,50,4.04,4.43
56,190,0.83,0.188,100,4.04,4.43
57,193,1.66,0.55055,50,4.04,4.43
57,193,1.66,0.1222,100,4.04,4.43
58,196,1.24,0.89635,50,4.04,4.43
58,196,1.24,0.051699999999999996,100,4.04,4.43
59,199,1.24,0.9919000000000001,50,4.04,4.43
59,199,1.24,0.014099999999999998,100,4.04,4.43
60,202,0.83,0.7007,50,4.04,4.43
60,202,0.83,0.0047,100,4.04,4.43
61,205,0.83,0.30485,50,4.04,4.43
61,205,0.83,0.0047,100,4.04,4.43
31,115,1.66,0.378,50,2.84,11.49
32,118,1.24,1.305,50,2.84,11.49
33,121,1.24,1.9980000000000002,50,2.84,11.49
34,124,1.66,4.905,50,2.84,11.49
34,124,1.66,0.1274,100,2.84,11.49
34,124,1.66,0.0506,200,2.84,11.49
35,127,4.56,10.08,50,2.84,11.49
35,127,4.56,0.7007,100,2.84,11.49
35,127,4.56,0.06440000000000001,200,2.84,11.49
36,130,4.15,17.1,50,2.84,11.49
36,130,4.15,1.4469,100,2.84,11.49
36,130,4.15,0.0782,200,2.84,11.49
37,133,8.71,18.540000000000003,50,2.84,11.49
37,133,8.71,3.1213,100,2.84,11.49
37,133,8.71,0.0506,200,2.84,11.49
38,136,9.55,19.35,50,2.84,11.49
38,136,9.55,5.005,100,2.84,11.49
38,136,9.55,0.276,200,2.84,11.49
39,139,9.55,24.48,50,2.84,11.49
39,139,9.55,6.5156,100,2.84,11.49
39,139,9.55,0.782,200,2.84,11.49
40,142,5.81,24.3,50,2.84,11.49
40,142,5.81,6.506500000000001,100,2.84,11.49
40,142,5.81,1.7664,200,2.84,11.49
41,145,11.62,22.41,50,2.84,11.49
41,145,11.62,6.188,100,2.84,11.49
41,145,11.62,2.1068000000000002,200,2.84,11.49
42,148,9.55,25.470000000000002,50,2.84,11.49
42,148,9.55,8.1172,100,2.84,11.49
42,148,9.55,2.1068000000000002,200,2.84,11.49
43,151,7.88,25.83,50,2.84,11.49
43,151,7.88,8.9999,100,2.84,11.49
43,151,7.88,1.9872000000000003,200,2.84,11.49
44,154,7.88,22.77,50,2.84,11.49
44,154,7.88,7.3528,100,2.84,11.49
44,154,7.88,2.0608000000000004,200,2.84,11.49
45,157,4.98,20.61,50,2.84,11.49
45,157,4.98,5.4782,100,2.84,11.49
45,157,4.98,1.6560000000000001,200,2.84,11.49
46,160,3.73,12.420000000000002,50,2.84,11.49
46,160,3.73,3.2669,100,2.84,11.49
46,160,3.73,0.8924,200,2.84,11.49
47,163,3.32,6.57,50,2.84,11.49
47,163,3.32,1.7472,100,2.84,11.49
47,163,3.32,0.3128,200,2.84,11.49
48,166,2.49,3.762,50,2.84,11.49
48,166,2.49,0.5915,100,2.84,11.49
48,166,2.49,0.0506,200,2.84,11.49
49,169,0.42,1.062,50,2.84,11.49
49,169,0.42,0.2184,100,2.84,11.49
49,169,0.42,0.1357,200,2.84,11.49
17,73,1.24,1.6744,50,2.62,6.67
17,73,1.24,0.0957,100,2.62,6.67
18,76,0.42,1.0283,50,2.62,6.67
18,76,0.42,0.2262,100,2.62,6.67
19,79,1.24,0.9282,50,2.62,6.67
19,79,1.24,0.3393,100,2.62,6.67
20,82,0.42,1.2922,50,2.62,6.67
20,82,0.42,0.4002,100,2.62,6.67
20,82,0.42,0.0344,200,2.62,6.67
21,85,1.66,1.6926,50,2.62,6.67
21,85,1.66,0.5481,100,2.62,6.67
21,85,1.66,0.0645,200,2.62,6.67
22,88,0.42,3.1940999999999997,50,2.62,6.67
22,88,0.42,1.0788,100,2.62,6.67
22,88,0.42,0.08600000000000001,200,2.62,6.67
23,91,2.49,4.841200000000001,50,2.62,6.67
23,91,2.49,0.9830999999999999,100,2.62,6.67
23,91,2.49,0.129,200,2.62,6.67
24,94,5.81,6.0333000000000006,50,2.62,6.67
24,94,5.81,0.8004,100,2.62,6.67
24,94,5.81,0.129,200,2.62,6.67
25,97,4.98,5.3508000000000004,50,2.62,6.67
25,97,4.98,1.131,100,2.62,6.67
25,97,4.98,0.129,200,2.62,6.67
26,100,4.15,4.55,50,2.62,6.67
26,100,4.15,0.9483,100,2.62,6.67
26,100,4.15,0.18059999999999998,200,2.62,6.67
27,103,4.98,4.8048,50,2.62,6.67
27,103,4.98,0.8004,100,2.62,6.67
27,103,4.98,0.215,200,2.62,6.67
28,106,4.98,4.9777,50,2.62,6.67
28,106,4.98,0.8961,100,2.62,6.67
28,106,4.98,0.0946,200,2.62,6.67
29,109,2.9,4.3770999999999995,50,2.62,6.67
29,109,2.9,0.6612,100,2.62,6.67
29,109,2.9,0.08600000000000001,200,2.62,6.67
30,112,4.15,3.5763000000000003,50,2.62,6.67
30,112,4.15,0.6264,100,2.62,6.67
30,112,4.15,0.129,200,2.62,6.67
31,115,5.4,3.2851,50,2.62,6.67
31,115,5.4,1.2006,100,2.62,6.67
31,115,5.4,0.08600000000000001,200,2.62,6.67
32,118,2.07,3.64,50,2.62,6.67
32,118,2.07,0.9135,100,2.62,6.67
32,118,2.07,0.12040000000000001,200,2.62,6.67
33,121,2.9,4.7229,50,2.62,6.67
33,121,2.9,1.1571,100,2.62,6.67
33,121,2.9,0.1892,200,2.62,6.67
34,124,7.06,3.9676000000000005,50,2.62,6.67
34,124,7.06,0.8961,100,2.62,6.67
34,124,7.06,0.18059999999999998,200,2.62,6.67
35,127,2.07,2.3296,50,2.62,6.67
35,127,2.07,0.7743,100,2.62,6.67
35,127,2.07,0.12040000000000001,200,2.62,6.67
36,130,2.07,2.1476,50,2.62,6.67
36,130,2.07,0.8526,100,2.62,6.67
36,130,2.07,0.1462,200,2.62,6.67
37,133,0.83,2.5662,50,2.62,6.67
37,133,0.83,0.6960000000000001,100,2.62,6.67
37,133,0.83,0.1634,200,2.62,6.67
38,136,2.9,2.8392000000000004,50,2.62,6.67
38,136,2.9,0.6525,100,2.62,6.67
38,136,2.9,0.1376,200,2.62,6.67
39,139,2.49,2.4479,50,2.62,6.67
39,139,2.49,0.49589999999999995,100,2.62,6.67
39,139,2.49,0.08600000000000001,200,2.62,6.67
40,142,1.66,2.7118,50,2.62,6.67
40,142,1.66,0.49589999999999995,100,2.62,6.67
40,142,1.66,0.0688,200,2.62,6.67
41,145,3.73,2.8028,50,2.62,6.67
41,145,3.73,0.5394,100,2.62,6.67
41,145,3.73,0.0387,200,2.62,6.67
42,148,2.49,2.0747999999999998,50,2.62,6.67
42,148,2.49,0.5568,100,2.62,6.67
42,148,2.49,0.0258,200,2.62,6.67
43,151,1.24,2.6299,50,2.62,6.67
43,151,1.24,0.6264,100,2.62,6.67
43,151,1.24,0.043000000000000003,200,2.62,6.67
44,154,2.07,2.3205,50,2.62,6.67
44,154,2.07,0.7569,100,2.62,6.67
44,154,2.07,0.0344,200,2.62,6.67
45,157,0.83,1.8928,50,2.62,6.67
45,157,0.83,0.6873,100,2.62,6.67
45,157,0.83,0.043000000000000003,200,2.62,6.67
46,160,2.49,2.3023,50,2.62,6.67
46,160,2.49,0.6699,100,2.62,6.67
46,160,2.49,0.0258,200,2.62,6.67
47,163,2.49,2.1749,50,2.62,6.67
47,163,2.49,0.6960000000000001,100,2.62,6.67
48,166,2.9,1.9656000000000002,50,2.62,6.67
48,166,2.9,0.41759999999999997,100,2.62,6.67
49,169,1.66,1.5834000000000001,50,2.62,6.67
49,169,1.66,0.1131,100,2.62,6.67
