post,azimuth,wind_direction,concentration,distance,U
58,108.0,6.22,18.108999999999998,100,5.15
58,108.0,6.22,3.2669,200,5.15
59,109.5,4.355,48.5485,50,5.15
59,109.5,4.355,14.56,100,5.15
59,109.5,4.355,2.50705,200,5.15
60,111.0,2.49,37.219,50,5.15
60,111.0,2.49,11.011,100,5.15
60,111.0,2.49,1.7472,200,5.15
61,112.5,2.2800000000000002,32.487,50,5.15
61,112.5,2.2800000000000002,9.828000000000001,100,5.15
61,112.5,2.2800000000000002,1.9109999999999998,200,5.15
62,114.0,2.07,27.755000000000003,50,5.15
62,114.0,2.07,8.645,100,5.15
62,114.0,2.07,2.0747999999999998,200,5.15
63,115.5,2.49,27.846000000000004,50,5.15
63,115.5,2.49,7.7486500000000005,100,5.15
63,115.5,2.49,1.7926999999999997,200,5.15
64,117.0,2.91,27.937,50,5.15
64,117.0,2.91,6.8523000000000005,100,5.15
64,117.0,2.91,1.5106,200,5.15
65,118.5,3.5300000000000002,22.204,50,5.15
65,118.5,3.5300000000000002,5.4873,100,5.15
65,118.5,3.5300000000000002,1.24215,200,5.15
66,120.0,4.15,16.471,50,5.15
66,120.0,4.15,4.1223,100,5.15
66,120.0,4.15,0.9737000000000001,200,5.15
67,121.5,3.7350000000000003,12.56255,50,5.15
67,121.5,3.7350000000000003,2.9211,100,5.15
67,121.5,3.7350000000000003,1.0601500000000001,200,5.15
68,123.0,3.32,8.6541,50,5.15
68,123.0,3.32,1.7199,100,5.15
68,123.0,3.32,1.1466,200,5.15
69,124.5,2.285,7.3892000000000015,50,5.15
69,124.5,2.285,1.7107999999999999,100,5.15
69,124.5,2.285,0.955955,200,5.15
70,126.0,1.25,6.124300000000001,50,5.15
70,126.0,1.25,1.7017000000000002,100,5.15
70,126.0,1.25,0.76531,200,5.15
71,127.5,1.25,4.8594,50,5.15
71,127.5,1.25,1.6380000000000001,100,5.15
71,127.5,1.25,0.6060599999999999,200,5.15
72,129.0,1.25,3.5945000000000005,50,5.15
72,129.0,1.25,1.5743,100,5.15
72,129.0,1.25,0.44681,200,5.15
73,130.5,1.04,5.214300000000001,50,5.15
73,130.5,1.04,1.9201000000000004,100,5.15
73,130.5,1.04,0.36036,200,5.15
74,132.0,0.83,6.8341,50,5.15
74,132.0,0.83,2.2659000000000002,100,5.15
74,132.0,0.83,0.27391,200,5.15
75,133.5,1.04,8.24005,50,5.15
75,133.5,1.04,2.08845,100,5.15
75,133.5,1.04,0.1729,200,5.15
76,135.0,1.25,9.646,50,5.15
76,135.0,1.25,1.9110000000000003,100,5.15
76,135.0,1.25,0.07189000000000001,200,5.15
77,136.5,0.835,9.6005,50,5.15
77,136.5,0.835,1.1375,100,5.15
78,138.0,0.42,9.555,50,5.15
78,138.0,0.42,0.36400000000000005,100,5.15
79,139.5,0.625,6.7749500000000005,50,5.15
79,139.5,0.625,0.24297000000000002,100,5.15
80,141.0,0.83,3.9949,50,5.15
80,141.0,0.83,0.12194,100,5.15
50,96.0,1.25,0.45198,50,3.0
51,97.5,1.04,0.5124299999999999,50,3.0
52,99.0,0.83,0.5728800000000001,50,3.0
53,100.5,1.04,2.29524,50,3.0
54,102.0,1.25,4.017600000000001,50,3.0
55,103.5,1.875,7.5423,50,3.0
56,105.0,2.5,11.067,50,3.0
56,105.0,2.5,0.18879,100,3.0
57,106.5,2.915,15.345,50,3.0
57,106.5,2.915,0.7174950000000001,100,3.0
58,108.0,3.33,19.623,50,3.0
58,108.0,3.33,1.2462000000000002,100,3.0
58,108.0,3.33,0.03534,200,3.0
59,109.5,2.915,30.643500000000003,50,3.0
59,109.5,2.915,2.72025,100,3.0
59,109.5,2.915,0.14136,200,3.0
60,111.0,2.5,41.664,50,3.0
60,111.0,2.5,4.1943,100,3.0
60,111.0,2.5,0.24738000000000002,200,3.0
61,112.5,5.0,59.0085,50,3.0
61,112.5,5.0,12.28065,100,3.0
61,112.5,5.0,1.0908900000000001,200,3.0
62,114.0,7.5,76.353,50,3.0
62,114.0,7.5,20.367,100,3.0
62,114.0,7.5,1.9344000000000001,200,3.0
63,115.5,6.46,94.4415,50,3.0
63,115.5,6.46,27.2025,100,3.0
63,115.5,6.46,4.826700000000001,200,3.0
64,117.0,5.42,112.53,50,3.0
64,117.0,5.42,34.038000000000004,100,3.0
64,117.0,5.42,7.719000000000001,200,3.0
65,118.5,7.295,127.875,50,3.0
65,118.5,7.295,43.338,100,3.0
65,118.5,7.295,11.439000000000002,200,3.0
66,120.0,9.17,143.22,50,3.0
66,120.0,9.17,52.638000000000005,100,3.0
66,120.0,9.17,15.159,200,3.0
67,121.5,7.085,182.28,50,3.0
67,121.5,7.085,58.776,100,3.0
67,121.5,7.085,17.065500000000004,200,3.0
