Run 1
Post Number,Degrees,Azimuth (Degrees),Wind-Dir (%),Concentrations (mg/m3) 50,Concentrations (mg/m3) 100,Concentrations (mg/m3) 200
29,84,109,0.930,8.500,0.550,0.030
30,87,112,0.620,4.130,0.105,NaN
31,90,115,0.620,3.380,NaN,NaN
32,93,118,0.210,1.450,NaN,NaN
33,96,121,NaN,0.095,NaN,NaN
34,99,124,0.210,0.010,NaN,NaN
35,102,127,0.210,0.035,NaN,NaN
36,105,130,NaN,NaN,NaN,NaN
37,108,133,NaN,NaN,NaN,NaN
Run 18
2,3,28,NaN,NaN,NaN,NaN
3,6,31,0.410,NaN,NaN,NaN
4,9,34,0.620,NaN,NaN,NaN
5,12,37,1.040,NaN,NaN,NaN
6,15,40,1.040,0.500,NaN,NaN
7,18,43,1.860,2.610,0.035,NaN
8,21,46,3.100,5.980,0.300,0.035
9,24,49,4.140,11.100,1.140,0.190
10,27,52,7.660,19.700,3.920,0.500
11,30,55,5.380,37.100,8.880,1.750
12,33,58,12.420,38.200,14.800,3.340
13,36,61,7.870,33.300,13.700,3.670
14,39,64,9.940,28.500,9.270,2.590
15,42,67,6.830,23.300,8.270,1.990
16,45,70,8.900,29.800,6.510,1.270
17,48,73,6.620,16.400,3.950,0.540
18,51,76,7.660,11.200,1.760,0.150
19,54,79,5.180,5.860,0.170,0.030
20,57,82,1.860,2.260,0.030,NaN
21,60,85,2.900,0.250,NaN,NaN
22,63,88,1.660,0.100,NaN,NaN
23,66,91,1.040,NaN,NaN,NaN
24,69,94,1.040,NaN,NaN,NaN
25,72,97,0.210,NaN,NaN,NaN
26,75,100,0.410,NaN,NaN,NaN
27,78,103,0.210,NaN,NaN,NaN
Run 19
7,18,43,NaN,NaN,NaN,NaN
8,21,46,0.210,NaN,NaN,NaN
9,24,49,0.210,0.030,NaN,NaN
10,27,52,0.210,0.030,NaN,NaN
11,30,55,0.410,0.125,NaN,NaN
12,33,58,0.410,0.320,0.010,NaN
13,36,61,0.210,1.310,0.010,NaN
14,39,64,2.280,1.940,0.095,NaN
15,42,67,2.900,3.060,0.280,NaN
16,45,70,4.140,5.530,0.390,NaN
17,48,73,3.730,9.550,1.640,0.025
18,51,76,6.210,17.700,3.510,0.560
19,54,79,7.250,24.000,5.280,1.200
20,57,82,7.450,26.800,7.270,2.100
21,60,85,7.040,34.700,11.000,3.830
22,63,88,6.620,34.700,12.400,4.330
23,66,91,9.520,26.700,10.600,3.280
24,69,94,7.450,20.900,7.830,1.670
25,72,97,8.070,16.000,4.130,0.880
26,75,100,8.070,13.700,2.380,0.390
27,78,103,6.000,8.350,0.660,0.180
28,81,106,4.970,3.930,0.230,0.040
29,84,109,2.690,1.570,0.030,0.020
30,87,112,1.660,0.600,NaN,NaN
31,90,115,1.040,0.460,NaN,NaN
32,93,118,1.040,0.090,NaN,NaN
33,96,121,0.210,NaN,NaN,NaN
34,99,124,NaN,NaN,NaN,NaN
Run 20
5,12,37,NaN,NaN,NaN,NaN
6,15,40,1.660,0.310,NaN,NaN
7,18,43,3.830,2.090,0.040,0.015
8,21,46,6.820,8.880,1.530,0.610
9,24,49,10.480,34.400,10.500,8.750
10,27,52,12.980,77.300,39.100,25.100
11,30,55,15.810,131.000,67.700,21.800
12,33,58,12.980,116.000,43.600,12.300
13,36,61,12.140,58.000,29.200,3.460
14,39,64,9.150,41.100,21.500,2.240
15,42,67,5.990,51.300,14.600,1.090
16,45,70,3.990,53.000,10.200,0.450
17,48,73,1.830,33.500,6.790,0.035
18,51,76,1.000,17.400,2.380,NaN
19,54,79,1.000,4.150,0.870,NaN
20,57,82,0.170,1.820,0.060,NaN
21,60,85,NaN,0.250,NaN,NaN
22,63,88,0.170,0.025,NaN,NaN
23,66,91,NaN,NaN,NaN,NaN
24,69,94,NaN,NaN,NaN,NaN
Run 21
14,39,64,NaN,NaN,NaN,NaN
15,42,67,NaN,NaN,NaN,NaN
16,45,70,0.170,NaN,NaN,NaN
17,48,73,0.830,0.075,NaN,NaN
18,51,76,0.330,0.960,NaN,NaN
19,54,79,0.830,3.570,0.020,NaN
20,57,82,1.000,14.000,0.120,NaN
21,60,85,1.830,19.300,1.350,0.015
22,63,88,5.490,21.800,5.410,0.340
23,66,91,14.970,37.500,17.800,1.840
24,69,94,11.650,39.400,28.100,6.620
25,72,97,20.300,41.100,30.300,11.000
26,75,100,11.650,39.800,26.100,9.210
27,78,103,10.480,31.900,18.200,4.860
28,81,106,9.980,20.300,7.960,2.840
29,84,109,5.320,14.400,2.440,0.470
30,87,112,1.830,5.640,0.320,0.025
31,90,115,2.000,0.620,0.025,NaN
32,93,118,0.500,0.120,NaN,NaN
33,96,121,0.170,NaN,NaN,NaN
34,99,124,0.330,NaN,NaN,NaN
35,102,127,0.170,NaN,NaN,NaN
36,105,130,0.170,NaN,NaN,NaN
Run 22
15,42,67,NaN,NaN,NaN,NaN
16,45,70,NaN,NaN,NaN,NaN
17,48,73,NaN,0.015,NaN,NaN
18,51,76,NaN,0.400,0.015,NaN
19,54,79,0.160,2.760,0.065,NaN
20,57,82,1.930,14.400,1.920,0.070
21,60,85,5.000,30.100,9.200,1.030
22,63,88,13.390,40.100,21.800,6.330
23,66,91,20.320,41.100,34.200,12.300
24,69,94,20.970,41.800,35.700,15.700
25,72,97,16.930,37.400,27.300,10.400
26,75,100,8.230,23.400,7.950,1.430
27,78,103,7.100,10.200,0.780,0.090
28,81,106,3.230,1.450,0.085,0.015
29,84,109,1.450,0.100,0.010,NaN
30,87,112,0.320,0.030,NaN,NaN
31,90,115,0.970,0.030,NaN,NaN
32,93,118,NaN,NaN,NaN,NaN
Run 23
7,18,43,NaN,NaN,NaN,NaN
8,21,46,NaN,0.050,NaN,NaN
9,24,49,NaN,0.530,0.015,NaN
10,27,52,0.170,3.530,0.100,NaN
11,30,55,0.330,10.400,0.830,NaN
12,33,58,0.500,13.800,3.770,0.055
13,36,61,1.330,22.800,8.890,0.330
14,39,64,4.310,33.500,13.500,2.010
15,42,67,6.800,45.300,17.700,6.520
16,45,70,6.800,38.200,19.900,7.370
17,48,73,12.270,35.700,14.400,4.200
18,51,76,13.760,32.800,15.020,5.020
19,54,79,16.250,32.200,18.600,5.240
20,57,82,13.430,27.000,17.800,4.960
21,60,85,14.430,22.800,10.900,4.190
22,63,88,6.140,28.700,13.000,4.200
23,66,91,1.820,20.900,10.900,3.410
24,69,94,1.160,73.000,2.710,0.940
25,72,97,0.500,4.440,0.540,0.035
26,75,100,NaN,0.560,0.110,NaN
27,78,103,NaN,0.095,0.010,NaN
28,81,106,NaN,NaN,NaN,NaN
29,84,109,NaN,NaN,NaN,NaN
Run 24
23,66,91,NaN,NaN,NaN,NaN
24,69,94,NaN,0.025,NaN,NaN
25,72,97,NaN,0.260,NaN,NaN
26,75,100,0.830,0.710,NaN,NaN
27,78,103,1.000,2.830,0.095,NaN
28,81,106,4.330,5.100,0.760,NaN
29,84,109,3.830,9.760,5.840,0.660
30,87,112,4.500,13.700,11.300,4.130
31,90,115,15.170,25.500,11.100,7.520
32,93,118,20.170,25.800,19.100,13.000
33,96,121,22.670,25.900,22.900,17.800
34,99,124,17.500,17.400,25.100,13.400
35,102,127,8.170,4.240,5.510,0.170
36,105,130,1.500,0.180,0.260,NaN
37,108,133,0.330,0.010,0.005,NaN
38,111,136,NaN,NaN,NaN,NaN
39,114,139,NaN,NaN,NaN,NaN
Run 25
28,81,106,NaN,NaN,NaN,NaN
29,84,109,NaN,0.030,0.020,NaN
30,87,112,0.170,0.400,0.010,NaN
31,90,115,2.320,7.770,0.060,0.020
32,93,118,1.990,17.400,2.300,0.015
33,96,121,6.620,24.700,10.200,0.150
34,99,124,7.780,23.600,12.800,2.680
35,102,127,18.870,23.600,18.700,4.660
36,105,130,17.880,27.000,24.300,6.990
37,108,133,13.410,19.500,20.300,10.100
38,111,136,10.100,12.500,13.100,12.300
39,114,139,9.930,11.000,8.330,11.300
40,117,142,3.480,11.200,6.600,11.100
41,120,145,4.300,12.400,6.250,7.820
42,123,148,2.980,8.140,6.890,6.890
43,126,151,0.170,5.730,10.000,7.700
44,129,154,NaN,6.370,8.990,6.630
45,132,157,NaN,6.490,6.380,5.640
46,135,160,NaN,6.530,7.620,0.350
47,138,163,NaN,5.030,6.550,0.015
48,141,166,NaN,3.440,4.480,NaN
49,144,169,NaN,1.380,0.640,NaN
50,147,172,NaN,1.960,0.035,NaN
51,150,175,NaN,0.160,NaN,NaN
52,153,178,NaN,0.030,NaN,NaN
53,156,181,NaN,NaN,NaN,NaN
Run 26
18,51,76,NaN,NaN,NaN,NaN
19,54,79,0.210,NaN,NaN,NaN
20,57,82,0.210,NaN,NaN,NaN
21,60,85,0.410,NaN,NaN,NaN
22,63,88,0.410,NaN,NaN,NaN
23,66,91,0.620,0.145,0.005,NaN
24,69,94,0.410,0.610,0.010,NaN
25,72,97,2.290,1.850,0.050,NaN
26,75,100,2.910,4.990,0.045,NaN
27,78,103,8.110,8.340,1.660,0.085
28,81,106,7.280,12.600,2.940,0.380
29,84,109,8.730,19.900,4.990,1.130
30,87,112,7.900,20.600,6.240,1.670
31,90,115,10.600,19.500,7.250,2.890
32,93,118,13.310,17.500,8.200,2.620
33,96,121,8.730,18.100,8.020,2.870
34,99,124,7.280,20.000,7.490,2.290
35,102,127,8.730,17.900,5.310,1.210
36,105,130,3.740,13.300,2.690,0.230
37,108,133,3.330,8.570,0.790,0.025
38,111,136,1.660,3.710,0.170,NaN
39,114,139,2.080,0.970,0.010,NaN
40,117,142,0.210,0.160,0.005,NaN
41,120,145,0.210,0.020,NaN,NaN
42,123,148,0.210,NaN,NaN,NaN
43,126,151,0.210,NaN,NaN,NaN
44,129,154,0.210,NaN,NaN,NaN
45,132,157,NaN,NaN,NaN,NaN
Run 27
21,60,85,NaN,NaN,NaN,NaN
22,63,88,0.420,NaN,NaN,NaN
23,66,91,0.210,NaN,NaN,NaN
24,69,94,0.620,NaN,NaN,NaN
25,72,97,0.210,0.045,NaN,NaN
26,75,100,0.420,0.450,NaN,NaN
27,78,103,0.830,0.460,NaN,NaN
28,81,106,0.420,0.400,NaN,NaN
29,84,109,1.240,0.330,0.065,NaN
30,87,112,1.040,0.300,0.150,NaN
31,90,115,0.830,0.690,0.115,0.015
32,93,118,2.070,1.040,0.200,0.015
33,96,121,3.110,2.520,0.520,0.015
34,99,124,3.110,5.360,0.730,0.180
35,102,127,7.260,7.840,1.900,0.690
36,105,130,9.130,11.200,2.960,0.960
37,108,133,11.620,16.900,3.240,1.140
38,111,136,7.880,17.500,4.060,1.220
39,114,139,9.130,13.300,4.860,1.160
40,117,142,10.150,11.500,3.750,1.000
41,120,145,7.470,10.600,3.650,0.900
42,123,148,4.560,9.810,2.810,0.660
43,126,151,3.320,9.490,2.590,0.500
44,129,154,4.360,9.980,1.940,0.540
45,132,157,3.110,8.720,0.830,0.260
46,135,160,2.490,4.250,0.340,0.160
47,138,163,1.040,3.690,0.610,0.010
48,141,166,1.040,2.780,0.390,NaN
49,144,169,1.660,1.240,0.470,NaN
50,147,172,0.620,0.690,0.270,NaN
51,150,175,0.210,0.640,0.015,NaN
52,153,178,0.420,0.320,0.015,NaN
53,156,181,NaN,0.105,NaN,NaN
54,159,184,NaN,0.010,NaN,NaN
55,162,187,NaN,NaN,NaN,NaN
Run 28
9,24,49,NaN,NaN,NaN,NaN
10,27,52,NaN,NaN,NaN,NaN
11,30,55,0.170,NaN,NaN,NaN
12,33,58,0.830,0.110,NaN,NaN
13,36,61,1.330,4.830,0.030,NaN
14,39,64,2.990,15.200,3.520,NaN
15,42,67,6.990,40.800,11.700,0.300
16,45,70,10.480,47.400,27.800,9.370
17,48,73,11.310,51.300,41.400,22.000
18,51,76,14.310,34.700,22.200,10.200
19,54,79,18.470,26.800,8.390,2.390
20,57,82,11.150,16.800,3.800,1.130
21,60,85,6.490,25.900,8.970,2.490
22,63,88,4.330,19.500,11.800,4.650
23,66,91,2.830,17.500,7.550,3.460
24,69,94,2.330,8.240,5.000,0.840
25,72,97,2.330,3.110,0.660,0.210
26,75,100,2.330,1.200,0.020,NaN
27,78,103,0.830,0.060,NaN,NaN
28,81,106,0.170,NaN,NaN,NaN
29,84,109,0.330,NaN,NaN,NaN
30,87,112,NaN,NaN,NaN,NaN
Run 29
11,30,55,NaN,NaN,NaN,NaN
12,33,58,NaN,NaN,NaN,NaN
13,36,61,0.170,NaN,NaN,NaN
14,39,64,0.170,0.015,NaN,NaN
15,42,67,0.330,0.160,0.020,NaN
16,45,70,0.500,2.200,0.040,0.015
17,48,73,0.830,7.970,0.165,0.030
18,51,76,1.500,15.300,0.860,0.020
19,54,79,3.160,29.600,5.220,0.330
20,57,82,6.310,47.800,13.700,1.860
21,60,85,8.800,60.800,22.200,5.390
22,63,88,17.770,68.500,36.400,12.400
23,66,91,18.600,63.800,34.600,16.400
24,69,94,19.100,42.100,18.200,8.670
25,72,97,9.300,17.700,8.150,2.840
26,75,100,8.140,6.550,1.740,0.340
27,78,103,4.320,3.330,0.380,0.035
28,81,106,0.660,0.710,0.070,NaN
29,84,109,0.170,0.015,NaN,NaN
30,87,112,0.170,NaN,NaN,NaN
31,90,115,NaN,NaN,NaN,NaN
