Run,Post Number,Degrees,Azimuth (Degrees),Wind-Dir (%),Height (m),Distance,Concentration (mg/m3)
1.0,69.0,1.5,124.5,4.2735,4.8,50,69.392
1.0,70.0,1.5,126.0,6.25,4.8,100,48.51
1.0,70.0,1.5,126.0,6.25,4.8,200,5.364
1.0,70.0,1.5,126.0,6.25,4.8,50,231.3
1.0,71.0,1.5,127.5,4.2735,4.8,100,25.163
1.0,71.0,1.5,127.5,4.2735,4.8,200,8.0242
1.0,71.0,1.5,127.5,4.2735,4.8,50,69.392
1.0,72.0,1.5,129.0,5.0,4.8,100,5.535
1.0,72.0,1.5,129.0,5.0,4.8,200,0.2079
1.0,72.0,1.5,129.0,5.0,4.8,50,76.5
1.0,73.0,1.5,130.5,4.2735,4.8,100,25.163
1.0,73.0,1.5,130.5,4.2735,4.8,200,8.0242
1.0,73.0,1.5,130.5,4.2735,4.8,50,69.392
1.0,74.0,1.5,132.0,2.91,4.8,100,0.6768
1.0,74.0,1.5,132.0,2.91,4.8,200,8.0242
1.0,74.0,1.5,132.0,2.91,4.8,50,22.05
1.0,75.0,1.5,133.5,4.2735,4.8,100,25.163
1.0,75.0,1.5,133.5,4.2735,4.8,200,8.0242
1.0,75.0,1.5,133.5,4.2735,4.8,50,69.392
1.0,76.0,1.5,135.0,0.83,2.5,100,0.0954
1.0,76.0,1.5,135.0,0.83,2.5,200,8.0242
1.0,76.0,1.5,135.0,0.83,2.5,50,1.512
1.0,77.0,1.5,136.5,4.2735,1.0,100,25.163
1.0,77.0,1.5,136.5,4.2735,1.0,200,8.0242
1.0,77.0,1.5,136.5,4.2735,1.0,50,69.392
1.0,78.0,1.5,138.0,1.25,0.5,100,25.163
1.0,78.0,1.5,138.0,1.25,0.5,200,8.0242
1.0,78.0,1.5,138.0,1.25,0.5,50,69.392
1.0,79.0,1.5,139.5,4.2735,4.8,100,25.163
1.0,79.0,1.5,139.5,4.2735,4.8,200,8.0242
1.0,79.0,1.5,139.5,4.2735,4.8,50,69.392
1.0,80.0,1.5,141.0,0.42,4.8,100,25.163
1.0,80.0,1.5,141.0,0.42,4.8,200,8.0242
1.0,80.0,1.5,141.0,0.42,4.8,50,69.392
1.0,81.0,1.5,142.5,4.2735,4.8,100,25.163
1.0,81.0,1.5,142.5,4.2735,4.8,200,8.0242
1.0,81.0,1.5,142.5,4.2735,4.8,50,69.392
1.0,82.0,1.5,144.0,0.42,4.8,100,25.163
1.0,82.0,1.5,144.0,0.42,4.8,200,8.0242
1.0,82.0,1.5,144.0,0.42,4.8,50,69.392
1.0,83.0,1.5,145.5,4.2735,4.8,100,25.163
1.0,83.0,1.5,145.5,4.2735,4.8,200,8.0242
1.0,83.0,1.5,145.5,4.2735,4.8,50,69.392
2.0,23.0,1.5,55.5,4.2735,4.8,100,25.443
2.0,23.0,1.5,55.5,4.2735,4.8,200,8.1134
2.0,23.0,1.5,55.5,4.2735,4.8,50,70.163
2.0,24.0,1.5,57.0,0.42,4.8,100,25.443
2.0,24.0,1.5,57.0,0.42,4.8,200,8.1134
2.0,24.0,1.5,57.0,0.42,4.8,50,0.08372
