Run,Post Number,Degrees,Azimuth (Degrees),Wind-Dir (%),Height (m),Corrected_10-min Concentrations (mg/m3) 50,Corrected_10-min Concentrations (mg/m3) 100,Corrected_10-min Concentrations (mg/m3) 200,Corrected_3-min Concentrations (mg/m3) 50,Corrected_3-min Concentrations (mg/m3) 100,Corrected_3-min Concentrations (mg/m3) 200,Corrected_0.5-min Concentrations (mg/m3) 50,Corrected_0.5-min Concentrations (mg/m3) 100,Corrected_0.5-min Concentrations (mg/m3) 200,10-min Vertical Samples Concentrations (mg/m3) 50,10-min Vertical Samples Concentrations (mg/m3) 100,10-min Vertical Samples Concentrations (mg/m3) 200
1.0,73.0,1.5,130.5,4.2735,4.8,69.392,25.163,8.0242,60.996,38.518,9.0153,19.256,1.1288,9.5218,86.326,29.573,9.3305
1.0,74.0,1.5,132.0,2.91,4.8,22.05,0.6768,8.0242,25.208,38.518,9.0153,1.8426,53.232,9.5218,86.326,29.573,9.3305
1.0,75.0,1.5,133.5,4.2735,4.8,69.392,25.163,8.0242,4.9956,38.518,9.0153,2.9382,53.232,9.5218,86.326,29.573,9.3305
1.0,76.0,1.5,135.0,0.83,2.5,1.512,0.0954,8.0242,2.852,38.518,9.0153,128.28,53.232,9.5218,2.45,0.031,9.3305
1.0,77.0,1.5,136.5,4.2735,1.0,69.392,25.163,8.0242,0.5152,38.518,9.0153,128.28,53.232,9.5218,2.19,29.573,9.3305
1.0,78.0,1.5,138.0,1.25,0.5,69.392,25.163,8.0242,102.57,38.518,9.0153,128.28,53.232,9.5218,1.66,4.15,9.3305
1.0,79.0,1.5,139.5,4.2735,4.8,69.392,25.163,8.0242,102.57,38.518,9.0153,128.28,53.232,9.5218,86.326,29.573,9.3305
1.0,80.0,1.5,141.0,0.42,4.8,69.392,25.163,8.0242,102.57,38.518,9.0153,128.28,53.232,9.5218,86.326,29.573,9.3305
1.0,81.0,1.5,142.5,4.2735,4.8,69.392,25.163,8.0242,102.57,38.518,9.0153,128.28,53.232,9.5218,86.326,29.573,9.3305
1.0,82.0,1.5,144.0,0.42,4.8,69.392,25.163,8.0242,102.57,38.518,9.0153,128.28,53.232,9.5218,86.326,29.573,9.3305
1.0,83.0,1.5,145.5,4.2735,4.8,69.392,25.163,8.0242,102.57,38.518,9.0153,128.28,53.232,9.5218,86.326,29.573,9.3305
2.0,23.0,1.5,55.5,4.2735,4.8,70.163,25.443,8.1134,103.69,38.936,9.1133,139.1,57.722,10.325,86.326,29.573,9.3305
2.0,24.0,1.5,57.0,0.42,4.8,0.08372,25.443,8.1134,103.69,38.936,9.1133,139.1,57.722,10.325,86.326,29.573,9.3305
2.0,25.0,1.5,58.5,4.2735,4.8,70.163,25.443,8.1134,103.69,38.936,9.1133,139.1,57.722,10.325,86.326,29.573,9.3305
2.0,26.0,1.5,60.0,4.2735,2.5,2.3114,25.443,8.1134,103.69,38.936,9.1133,139.1,57.722,10.325,2.54,29.573,9.3305
2.0,27.0,1.5,61.5,4.2735,1.0,70.163,25.443,8.1134,103.69,38.936,9.1133,139.1,57.722,10.325,1.74,29.573,9.3305
2.0,28.0,1.5,63.0,0.42,0.5,4.1769,0.10647,8.1134,0.43431,0.33759,9.1133,139.1,57.722,10.325,1.49,29.573,9.3305
2.0,29.0,1.5,64.5,4.2735,4.8,70.163,25.443,8.1134,0.59799,0.6138,9.1133,139.1,57.722,10.325,86.326,29.573,9.3305
2.0,30.0,1.5,66.0,1.66,4.8,12.922,0.59605,8.1134,2.6691,1.2834,9.1133,139.1,57.722,10.325,86.326,29.573,9.3305
2.0,31.0,1.5,67.5,4.2735,4.8,70.163,25.443,8.1134,6.324,1.2183,0.23901,139.1,57.722,10.325,86.326,29.573,9.3305
2.0,32.0,1.5,69.0,2.49,4.8,27.209,2.1658,0.22932,12.369,1.2462,0.48081,139.1,57.722,10.325,86.326,29.573,9.3305
2.0,33.0,1.5,70.5,4.2735,4.8,70.163,25.443,8.1134,19.809,1.9344,0.8184,139.1,57.722,10.325,86.326,29.573,9.3305
2.0,34.0,1.5,72.0,2.07,4.8,47.502,6.9888,0.77532,22.413,2.4552,1.3485,139.1,57.722,10.325,86.326,29.573,9.3305
2.0,35.0,1.5,73.5,4.2735,4.8,70.163,25.443,8.1134,30.225,3.6921,1.6554,139.1,57.722,10.325,86.326,29.573,9.3305
2.0,36.0,1.5,75.0,1.66,2.5,61.971,9.828,1.6198,42.129,5.673,1.6275,139.1,57.722,10.325,52.8,11.6,1.52
2.0,37.0,1.5,76.5,4.2735,1.0,70.163,25.443,8.1134,66.03,7.347,2.7063,1.17,57.722,10.325,71.5,29.573,9.3305
2.0,38.0,1.5,78.0,4.98,0.5,69.979,15.106,2.4843,73.191,12.183,3.0783,5.454,57.722,10.325,73.7,10.5,1.7
2.0,39.0,1.5,79.5,4.2735,4.8,70.163,25.443,8.1134,71.331,15.345,3.6549,7.074,57.722,10.325,86.326,29.573,9.3305
2.0,40.0,1.5,81.0,4.56,4.8,77.441,18.109,3.4489,97.65,13.857,3.5061,7.614,57.722,10.325,86.326,29.573,9.3305
2.0,41.0,1.5,82.5,4.2735,4.8,70.163,25.443,8.1134,129.27,20.181,2.8365,9.63,57.722,10.325,86.326,29.573,9.3305
2.0,42.0,1.5,84.0,6.64,4.8,84.721,19.474,4.4135,135.78,23.901,3.534,9.09,57.722,10.325,86.326,29.573,9.3305
