post,degrees,azimuth,wind_direction,timestamp,run,concentration,distance
7,18,43,,1954-08-13 09:15:00,1.0,,50
7,18,43,,1954-08-13 09:15:00,1.0,,100
7,18,43,,1954-08-13 09:15:00,1.0,,200
8,21,46,,1954-08-13 09:15:00,1.0,,50
8,21,46,,1954-08-13 09:15:00,1.0,,100
8,21,46,,1954-08-13 09:15:00,1.0,,200
9,24,49,,1954-08-13 09:15:00,1.0,,50
9,24,49,,1954-08-13 09:15:00,1.0,,100
9,24,49,,1954-08-13 09:15:00,1.0,0.01,200
10,27,52,0.42,1954-08-13 09:15:00,1.0,,50
10,27,52,0.42,1954-08-13 09:15:00,1.0,,100
10,27,52,0.42,1954-08-13 09:15:00,1.0,0.015,200
11,30,55,,1954-08-13 09:15:00,1.0,,50
11,30,55,,1954-08-13 09:15:00,1.0,,100
11,30,55,,1954-08-13 09:15:00,1.0,0.005,200
12,33,58,,1954-08-13 09:15:00,1.0,,50
12,33,58,,1954-08-13 09:15:00,1.0,,100
12,33,58,,1954-08-13 09:15:00,1.0,,200
13,36,61,,1954-08-13 09:15:00,1.0,,50
13,36,61,,1954-08-13 09:15:00,1.0,,100
13,36,61,,1954-08-13 09:15:00,1.0,0.015,200
14,39,64,0.42,1954-08-13 09:15:00,1.0,0.035,50
14,39,64,0.42,1954-08-13 09:15:00,1.0,,100
14,39,64,0.42,1954-08-13 09:15:00,1.0,0.005,200
15,42,67,0.42,1954-08-13 09:15:00,1.0,0.04,50
15,42,67,0.42,1954-08-13 09:15:00,1.0,,100
15,42,67,0.42,1954-08-13 09:15:00,1.0,0.015,200
16,45,70,0.42,1954-08-13 09:15:00,1.0,0.04,50
16,45,70,0.42,1954-08-13 09:15:00,1.0,,100
16,45,70,0.42,1954-08-13 09:15:00,1.0,0.015,200
17,48,73,0.83,1954-08-13 09:15:00,1.0,0.75,50
17,48,73,0.83,1954-08-13 09:15:00,1.0,0.015,100
17,48,73,0.83,1954-08-13 09:15:00,1.0,0.015,200
18,51,76,0.42,1954-08-13 09:15:00,1.0,0.145,50
18,51,76,0.42,1954-08-13 09:15:00,1.0,0.04,100
18,51,76,0.42,1954-08-13 09:15:00,1.0,0.015,200
19,54,79,1.24,1954-08-13 09:15:00,1.0,0.14,50
19,54,79,1.24,1954-08-13 09:15:00,1.0,0.04,100
19,54,79,1.24,1954-08-13 09:15:00,1.0,0.01,200
20,57,82,0.83,1954-08-13 09:15:00,1.0,0.305,50
20,57,82,0.83,1954-08-13 09:15:00,1.0,0.055,100
20,57,82,0.83,1954-08-13 09:15:00,1.0,0.01,200
21,60,85,1.24,1954-08-13 09:15:00,1.0,0.315,50
21,60,85,1.24,1954-08-13 09:15:00,1.0,0.095,100
21,60,85,1.24,1954-08-13 09:15:00,1.0,0.025,200
22,63,88,,1954-08-13 09:15:00,1.0,0.185,50
22,63,88,,1954-08-13 09:15:00,1.0,0.04,100
22,63,88,,1954-08-13 09:15:00,1.0,0.025,200
23,66,91,1.66,1954-08-13 09:15:00,1.0,0.185,50
23,66,91,1.66,1954-08-13 09:15:00,1.0,0.065,100
23,66,91,1.66,1954-08-13 09:15:00,1.0,0.005,200
24,69,94,0.83,1954-08-13 09:15:00,1.0,0.355,50
24,69,94,0.83,1954-08-13 09:15:00,1.0,0.065,100
24,69,94,0.83,1954-08-13 09:15:00,1.0,0.025,200
25,72,97,1.66,1954-08-13 09:15:00,1.0,0.44,50
25,72,97,1.66,1954-08-13 09:15:00,1.0,0.085,100
25,72,97,1.66,1954-08-13 09:15:00,1.0,0.035,200
26,75,100,0.42,1954-08-13 09:15:00,1.0,0.36,50
26,75,100,0.42,1954-08-13 09:15:00,1.0,0.095,100
26,75,100,0.42,1954-08-13 09:15:00,1.0,0.04,200
27,78,103,0.83,1954-08-13 09:15:00,1.0,0.3,50
27,78,103,0.83,1954-08-13 09:15:00,1.0,0.065,100
27,78,103,0.83,1954-08-13 09:15:00,1.0,0.04,200
28,81,106,0.83,1954-08-13 09:15:00,1.0,0.265,50
28,81,106,0.83,1954-08-13 09:15:00,1.0,0.065,100
28,81,106,0.83,1954-08-13 09:15:00,1.0,0.035,200
29,84,109,1.24,1954-08-13 09:15:00,1.0,0.215,50
29,84,109,1.24,1954-08-13 09:15:00,1.0,0.045,100
29,84,109,1.24,1954-08-13 09:15:00,1.0,0.035,200
30,87,112,0.83,1954-08-13 09:15:00,1.0,0.195,50
30,87,112,0.83,1954-08-13 09:15:00,1.0,0.07,100
30,87,112,0.83,1954-08-13 09:15:00,1.0,0.02,200
31,90,115,1.24,1954-08-13 09:15:00,1.0,0.165,50
31,90,115,1.24,1954-08-13 09:15:00,1.0,0.03,100
31,90,115,1.24,1954-08-13 09:15:00,1.0,0.03,200
32,93,118,2.49,1954-08-13 09:15:00,1.0,0.215,50
32,93,118,2.49,1954-08-13 09:15:00,1.0,0.035,100
32,93,118,2.49,1954-08-13 09:15:00,1.0,0.015,200
33,96,121,0.42,1954-08-13 09:15:00,1.0,0.235,50
33,96,121,0.42,1954-08-13 09:15:00,1.0,0.045,100
33,96,121,0.42,1954-08-13 09:15:00,1.0,0.025,200
34,99,124,2.9,1954-08-13 09:15:00,1.0,0.255,50
34,99,124,2.9,1954-08-13 09:15:00,1.0,0.055,100
34,99,124,2.9,1954-08-13 09:15:00,1.0,0.035,200
35,102,127,2.9,1954-08-13 09:15:00,1.0,0.385,50
35,102,127,2.9,1954-08-13 09:15:00,1.0,0.075,100
35,102,127,2.9,1954-08-13 09:15:00,1.0,0.04,200
36,105,130,2.07,1954-08-13 09:15:00,1.0,0.37,50
36,105,130,2.07,1954-08-13 09:15:00,1.0,0.09,100
36,105,130,2.07,1954-08-13 09:15:00,1.0,0.035,200
37,108,133,1.24,1954-08-13 09:15:00,1.0,0.435,50
37,108,133,1.24,1954-08-13 09:15:00,1.0,0.1,100
37,108,133,1.24,1954-08-13 09:15:00,1.0,0.045,200
38,111,136,2.9,1954-08-13 09:15:00,1.0,0.375,50
38,111,136,2.9,1954-08-13 09:15:00,1.0,0.075,100
38,111,136,2.9,1954-08-13 09:15:00,1.0,0.04,200
39,114,139,1.24,1954-08-13 09:15:00,1.0,0.4,50
39,114,139,1.24,1954-08-13 09:15:00,1.0,0.06,100
39,114,139,1.24,1954-08-13 09:15:00,1.0,0.04,200
